,original,corrected,native
10,"Hi there! I'm looking to practice English. In return, I can help you with your Spanish! I'm currently a uni student so any general tips or advice that may be helpful are welcome! Have a lovely day :)","Hi there! I'm looking to practice English. In return, I can help you with your Spanish! I'm currently a university student so any general tips or advice that may be helpful are welcome! Have a lovely day :)",Spanish
11,"I am here to improve my english and to learn russian, and why not, to make some new friends.","I am here to improve my English and to learn Russian, and, why not, to make some new friends.",Italian
12,I have to improve my english for my job,I have to improve my English for my job.,Italian
13,Learning English is a challenge for me. I am looking for someone who is brave to help me and who needs my Italian.,Learning English is a challenge for me. I am looking for someone who is brave to help me and who needs my Italian.,Italian
14,I should like to keep my English up to date and not to lose it completely.I like to help foreigners to practice Italian.,I should like to keep my English up to date and not lose it completely. I like to help foreigners to practice Italian.,Italian
15,Hi I want to practise my English skills and I can help with your Spanish in return,"Hi, I want to practice my English skills, and I can help with your Spanish in return.",Spanish
16,I want to practice English so if you want to talk about your country we can practice english together. I'm studying korean...I can read but i don't understand anything :D I studied alphabet and when i have free time I will start to study grammar (I bought a Korean grammar book),"I want to practice English, so if you want to talk about your country, we can practice English together. I'm studying Korean. I can read, but I don't understand anything :D I studied the alphabet, and when I have free time, I will start to study grammar (I bought a Korean grammar book)",Italian
17,"I’m an honest person, loyal, happy, . I want to improve my English and make new friends around the world. I’m willing to help anyone with their Spanish","I'm an honest person, loyal, and happy. I want to improve my English and make new friends around the world. I'm willing to help anyone with their Spanish.",Spanish
18,"Ok, that's me: I'm trying to keep up with the languages I studied but sadly I don't get the chance to practice them as often, and you know, if you don't practice regularly they totally slip! I'd love to meet up with native speakers interested in learning Italian and willing to help me out with their language! my idea would be learning through conversation, using the language in everyday life, perhaps over a coffee or wine or maybe doing something else around the city, keeping it light and fun!","Ok, that's me! I'm trying to keep up with the languages I studied, but sadly, I don't get the chance to practice them as often, and you know, if you don't practice regularly, they totally slip! I'd love to meet up with native speakers interested in learning Italian and willing to help me out with their language! My idea would be learning through conversation, using the language in everyday life, perhaps over a coffee or wine or maybe doing something else around the city, keeping it light and fun!",Italian
19,I work in an import/export Dutch food company. I would need to practice my spoken english . I live in Tuscany between Pisa and Florence.,"I work in an import/export Dutch food company. I would need to practice my spoken English. I live in Tuscany, between Pisa and Florence.",Italian
20,"I ‘m Monica from Italy I would like to improve my English and, of course, I’ll can help you with your italian
The curiosity is my passion: I love sailing, skiing, swimming, visiting exhibitions art, museums, travelling of course, listening music, theatre…
I hope you’ll text me ?","I'm Monica from Italy. I would like to improve my English, and, of course, I can help you with your Italian. The curiosity is my passion: I love sailing, skiing, swimming, visiting exhibitions of art, museums, traveling, listening to music, and theatre... I hope you'll text me ?",Italian
21,"Hi I'm Alberto and I'm a native Italian speaker. I want to practice my English and maybe learn Spanish, in exchange I can help you with your Italian!","Hi, I'm Alberto, and I'm a native Italian speaker. I want to practice my English and maybe learn Spanish. In exchange, I can help you with your Italian!",Italian
22,"Speak with english or american people for learn language, only face 2 face. I can teach italian","Speak with English or American people to learn the language, only face to face. I can teach Italian.",Italian
23,I'm looking for language partners for practice my English. I can help you with Italian of course. I wish to know new cultures.,"I'm looking for language partners to practice my English. I can help you with Italian, of course. I wish to know new cultures.",Italian
24,"Hi everyone, I'd like to improve my English skills. If you want to improve your Spanish, let me know! I'm sure we can help us. Please I just want to improve my fluently, I don't search any loving relationship.","Hi everyone, I'd like to improve my English skills. If you want to improve your Spanish, let me know! I'm sure we can help us. Please. I just want to improve my fluent Spanish. I don't look for any loving relationship.",Spanish
25,I am looking for friends to help me in improving my English,I am looking for friends to help me improve my English.,French
26,"I'm just looking for conversations with somebody whose native language is English and who would like to speak French.My spare time activities are woodworking, reading , swimming and running","I'm just looking for conversations with somebody whose native language is English and who would like to speak French. My spare time activities are woodworking, reading, swimming, and running.",French
27,"I am looking for people who can help me with English and Japanese languages. In exchange I could teach French. I can read English quite well but am very poor at listening and speaking. Sorry I don't answer men's requests, only women. I am also very keen on Japan that's why I would like to learn Japanese.","I am looking for people who can help me with English and Japanese languages. In exchange, I could teach French. I can read English quite well but am very poor at listening and speaking. Sorry, I don't answer men's requests, only women. I am also very keen on Japan, and that's why I would like to learn Japanese.",French
28,"i like everything about dance : your dance, history, sociology, literature, rythm, biomechanics
about ecology ( wastes, energy, rivers and phreatics, urbanism, steets, houses and dwelling.) about language : your expression, conversation, sociology of language, rhethoric, grammar and phonetic","I like everything about your dance, history, sociology, literature, rhythm, biomechanics about ecology (wastes, energy, rivers and phreatics, urbanism, streets, houses, and dwellings.) about language: your expression, conversation, sociology of language, rhethoric, grammar, and phonetics.",French
29,"I'm a French native speaker and I'm 19. I'd like to practice English, and I could help with French. I'm here because I came to the conclusion that speaking to a native is the best way to make progress. If I can help and learn at the same time, then that's fine with me. I'm open to any conversation topic, so don't hesitate to contact me.","I'm a native French speaker, and I'm 19. I'd like to practice English, and I could help with French. I'm here because I came to the conclusion that speaking to a native speaker is the best way to make progress. If I can help and learn at the same time, then that's fine with me. I'm open to any conversation topic, so don't hesitate to contact me.",French
30,"I actually study business in the south of France. I always loved to learn languages especially English. I would like to discuss with someone and improve my English level (it's not too bad but not very good). My pronunciation is my weakness. Of course, I will be pleased to help you for French. Don't hesitate to send me a message :)","I actually study business in the south of France. I always loved to learn languages, especially English. I would like to discuss it with someone and improve my English level (it's not too bad but not very good). My pronunciation is my weakness. Of course, I will be pleased to help you with French. Don't hesitate to send me a message :)",French
31,"I am a microbiologist who has just finished my university studies. I am from Barcelona, Spain. My interests include science, movies, video games, hiking and sport climbing. I want to improve my english speaking skills for work but also because I love to travel.","I am a microbiologist who has just finished my university studies. I am from Barcelona, Spain. My interests include science, movies, video games, hiking, and sport climbing. I want to improve my English speaking skills for work but also because I love to travel.",Spanish<br/>Catalan
32,"I want to learn English soon because I have to bussines around the world, let me know your free time to practice",I want to learn English soon because I have to work around the world. Let me know your free time to practice.,Spanish
33,"I like reading British and American literature and I'm especially fond of American novels and newspapers. I like also listening to podcasts in English, like ""the BBC global news"" and ""The Daily"" (NY Times). Unfortunately, I have not many chances to speak English in my everyday life. Since I am a teacher, I think I can understand well the problems an English native speaker has to face in learning Italian and hopefully help to solve them.","I like reading British and American literature, and I'm especially fond of American novels and newspapers. I also like listening to podcasts in English, like ""the BBC global news"" and ""The Daily"" (NY Times). Unfortunately, I do not have many chances to speak English in my everyday life. Since I am a teacher, I think I can understand well the problems an English native speaker has to face when learning Italian and hopefully can help to solve them.",Italian
34,I would like improve my english and learn spanish. I can help You with italian and English. I am an italian native engineer.,I would like to improve my English and learn Spanish. I can help you with Italian and English. I am an Italian native engineer.,Italian
35,I would like to contact people who would exchange their language for Spanish.,I would like to contact people who would like to exchange their language for Spanish.,Spanish
36,"I can read in English, or listen to radio, podcast, films but I would like to meet English native speakers to speak English. Living in France, I don't have the opportunity to meet English native speakers easily and I am very glad a friend told me about this app. I would also be very pleased to help someone with his/her spoken French.","I can read in English, or listen to radio, podcasts, films, but I would like to meet native English speakers to speak English. Living in France, I don't have the opportunity to meet native English speakers easily, and I am very glad a friend told me about this app. I would also be very pleased to help someone with his/her spoken French.",French
37,I'm a french man who looks for someone to speak english and makes me progress.,I'm a French man who looks for someone to speak English and make me progress.,French
38,"Don't hesitate to send me a message, even if you don't speak czech, french or english.","Don't hesitate to send me a message, even if you don't speak Czech, French, or English.",French
39,"I am an English Student, and I would like to improve my English Level","I am an English student, and I would like to improve my English.",Spanish
40,"I like to travel, discover other cultures and share useful conversations","I like to travel, discover other cultures, and share useful conversations.",French
41,"I am an architect, from Colombia, currently I am looking for language exchange with native person.","I am an architect from Colombia; currently, I am looking for a language exchange with native people.",Spanish
42,"I have studied english, lived with different host families in Seattle, Indiana, Toronto, Dublin, and even worked in the United States during 2016 summer, but it was years ago so... I have forgotten a lot of things that I want to improve. I love sports, my favourite is Rythmic Gymnastics. I also love travelling, meet new people and explore new countries and places.","I have studied English, lived with different host families in Seattle, Indiana, Toronto, Dublin, and even worked in the United States during the 2016 summer, but it was years ago, so... I have forgotten a lot of things that I want to improve. I love sports; my favorite is rhythmic gymnastics. I also love traveling, meeting new people, and exploring new countries and places.",Spanish
43,I'm an italian guy that would like to exercize his english :) and improve German and Russian You are welcome!,I'm an Italian guy that would like to practice his English :) and improve German and Russian. You are welcome!,Italian
44,"I was born in Madrid and love to speak in English, but I need to improve it, specially my speaking skills. If you need a friend to help you with your Spanish, that's me! I'll be happy to help you ☺ Music is my obsession. I work to be able to travel. My biggest hobby is playing drums.","I was born in Madrid and love to speak English, but I need to improve it, especially my speaking skills. If you need a friend to help you with your Spanish, that's me! I'll be happy to help you  Music is my obsession. I work to be able to travel. My biggest hobby is playing drums.",Spanish
45,I live in South Italy and I would love to have the opportunity to talk with a BRITISH mother tongue LADY in order to improve my conversation skills. I happy to help you with Italian too. Females only please!,"I live in South Italy, and I would love to have the opportunity to talk with a BRITISH mother tongue LADY in order to improve my conversation skills. I am happy to help you with Italian too. Females only, please!",Italian
46,"I'm Arii, thank you for being interesting in being my penpal, I'm not very good at describing myself but I promise you that I'll do my best to get along great :D
I'm very interested in learning new languages since I have free time now, I also like to meet people from different cultures to share stories and interests^^
I'm an introvert but don't worry, I do my best to look like an interesting person(? Haha
Feel free to write me if you need a language partner or a friend :)","I'm Arii, thank you for being my penpal. I'm not very good at describing myself, but I promise you that I'll do my best to get along great :D I'm very interested in learning new languages since I have free time now. I also like to meet people from different cultures to share stories and interests I'm an introvert but don't worry, I do my best to look like an interesting person (?) Haha Feel free to write me if you need a language partner or a friend :)",Spanish
47,"Hello, I am looking for friends for conversation and languages as well as culture discovery.","Hello, I am looking for friends for conversation and languages as well as for culture discovery.",French
48,I'm looking for someone very patient to chat with and exchange impression I am be very happily married and only seek friendship and mutual learning. I am a very happy person and very patient.,I'm looking for someone very patient to chat with and exchange impressions. I am a very happily married person and very patient.,Italian
49,"I'm a native italian speaker, i am here to practice english or japanese and to know more about other cultures
I can help you with the italian language",I'm a native Italian speaker; I am here to practice English or Japanese and to know more about other cultures. I can help you with the Italian language,Italian
50,"I would like to improve my english (mainly speaking.. ...some writing
I can support you in French (native speaker : French) ! Someone who 'd love and don't hesitate to correct with patient. thanks
PS I am looking for native speakers in these languages.",I would like to improve my English (mainly speaking... ...some writing I can support you in French (native speaker of French) ! Someone who 'd love and don't hesitate to correct with patient. thanks PS I am looking for native speakers in these languages.,French
51,"I am outgoing, friendly, I love talking, meeting new people and above all travelling. I am currently living in Ireland to improve my English.","I am outgoing, friendly, I love talking, meeting new people, and above all, traveling. I am currently living in Ireland to improve my English.",Spanish
52,"I am very interested in finding a person to help me improve my English. My level is intermediate. I would like to discuss different topics in order to increase my vocabulary. My hobbies are traveling, hiking, movies and yoga. In exchange I can help you with your Spanish. I used to work as a Spanish teacher many years ago. Hope to hear from you!","I am very interested in finding a person to help me improve my English. My level is intermediate. I would like to discuss different topics in order to increase my vocabulary. My hobbies are traveling, hiking, movies, and yoga. In exchange, I can help you with your Spanish. I used to work as a Spanish teacher many years ago. I hope to hear from you!",Spanish
53,"Hi, I like daily conversation and i need to practice my english without any pressure. I would be glad to help you in French. I am looking for a long term exchange, a native speaker and around my age please.","Hi, I like daily conversations, and I need to practice my English without any pressure. I would be glad to help you with French. I am looking for a long-term exchange, a native speaker, and around my age, please.",French
54,"I'd like communicate in english with people, in order to improve my spoken english. I can help you with your French in exchange, just reach out to me.",I'd like to communicate in English with people in order to improve my spoken English. I can help you with your French in exchange; just reach out to me.,French
55,"I recently moved to London for work and I would like to meet someone To chat , to improve my English and help you improve your Italian","I recently moved to London for work, and I would like to meet someone to chat, to improve my English, and to help you improve your Italian.",Italian
56,"Hello, I am french and live near Paris (few km). I learned English on my own and I continue. But now as you can see I need help for speaking and writing. Of course in return, it will be a pleasure to help you with your french's practice. Because I like to teach and to help. We can exchange by video-call, messages or face to face in a cafe or other place. I enjoy to chat on a wide range of topics and meet new people.","Hello, I am French and live near Paris (few km). I learned English on my own and I continue to do so. But now, as you can see, I need help with speaking and writing. Of course, in return, it will be a pleasure to help you with your French practice. Because I like to teach and to help. We can exchange video calls, messages, or face to face in a cafe or other place. I enjoy chatting on a wide range of topics and meeting new people.",French
57,"Hey people! Very patient native french speaker here looking for a new partner to improve myself in Spanish, Japanese but also looking for native English speakers in order to be more fluent. Let's grab a drink or explore the city while having a nice talk :) A bientôt !",Hey people! A very patient native French speaker here looking for a new partner to improve my Spanish and Japanese but also looking for native English speakers in order to be more fluent. Let's grab a drink or explore the city while having a nice talk :) A bientôt !,French
58,"Hello, I live in Paris and i work as a video editor in freelance. I'm here to improve english. It will be my pleasure to share my french.","Hello, I live in Paris, and I work as a video editor freelance. I'm here to improve my English. It will be my pleasure to share my French.",French
59,"I am a native French speaker from France. I studied mathematics and now I work in Cambridge as an engineer. I want to practice and improve my english. I need to get more confidence when I speak and learn more vocabulary. I would like to find a motivated person who is a native English speaker in order to develop my writing and speaking skills. I am also starting to learn Arabic but I am at the very beginning. In exchange, I can help with French.","I am a native French speaker from France. I studied mathematics, and now I work in Cambridge as an engineer. I want to practice and improve my English. I need to have more confidence when I speak and learn more vocabulary. I would like to find a motivated person who is a native English speaker in order to develop my writing and speaking skills. I am also starting to learn Arabic, but I am at the very beginning. In exchange, I can help with French.",French
60,"I'm living in Lyon France. I would like to practice my english conversation and also some polish as I love this country. In exchange I can help you with your french :)
I'm friendly, message me if you need help.","I'm living in Lyon, France. I would like to practice my English conversation and also some polish as I love this country. In exchange, I can help you with your French :) I'm friendly; message me if you need help.",French
61,I am a graphic designer and digital illustrator living in Spain. I've been learning English on my own and would like to practice conversation to improve it.,I am a graphic designer and digital illustrator living in Spain. I've been learning English on my own and would like to practice conversation to improve it.,Spanish<br/>Galician
62,"Hello I am trying to learn english, if someone wants to study with me would be excellent, I can help you with spanish so send message if you are interested .","Hello, I am trying to learn English; if someone wants to study with me, it would be excellent; I can help you with Spanish, so send me a message if you are interested.",Spanish
63,Doing the same thing over and over expecting a different result.,"Doing the same thing over and over, expecting a different result.",French
64,i'm looking for practice and learning english. willing help you in italian,I'm looking for practice and learning English. I am willing to help you in Italian,Italian
65,"I would like to meet people to practice English, in exchange I can help with Spanish.","I would like to meet people to practice English; in exchange, I can help with Spanish.",Spanish
66,"Hi, I´m spanish native who recently returned after living abroad for more than 1 year. I would like to continue improving my english, and in exchange I can help you with spanish language &amp; culture. Just for your reference, I love running, hiking, gym... all kinds of sport, natural environments and healthy life!.","Hi, I m a Spanish native who recently returned after living abroad for more than 1 year. I would like to continue improving my English, and in exchange, I can help you with Spanish language &amp; culture. Just for your reference, I love running, hiking, gym... all kinds of sport, natural environments, and a healthy life!",Spanish
67,"Hello,
I am looking for someone for practise my English and help him in Italian if he wants. I like the nature and stay in it.","Hello, I am looking for someone to practice my English and help him with Italian if he wants. I like nature and want to stay in it.",Italian
68,"I'm student in the Official School of Languages in Alicante, Spain, and I would llike to practice the languages that I currently learn: English, French, German and Catalan.","I'm a student at the Official School of Languages in Alicante, Spain, and I would like to practice the languages that I currently learn: English, French, German, and Catalan.",Spanish
69,"Hello, I like to travel and I would like to speak perfectly english so please contact me. I will be a perfect french teacher too.","Hello, I like to travel, and I would like to speak perfectly English, so please contact me. I will be a perfect French teacher too.",French
70,"hello, I am edier and I am learning english, I want to meet people and their cultures to improve my level in the language, I can help you to learn spanish.","Hello, I am Edier, and I am learning English. I want to meet people and their cultures to improve my level in the language. I can help you to learn Spanish.",Spanish
71,"Hi, I am a professor in a french university, and would be happy to exchange language skills and cultural knowledge in Paris with a native speaker. I enjoy playing music with friends, cooking (especially french patisserie) and sharing my best places. I am looking for cool but studious face to face exchanges in a friendly atmosphere, with open-minded people.","Hi, I am a professor at a French university and would be happy to exchange language skills and cultural knowledge in Paris with a native speaker. I enjoy playing music with friends, cooking (especially French patisserie) and sharing my best places. I am looking for cool but studious face to face exchanges in a friendly atmosphere, with open-minded people.",French
72,Hoping to improve my spoken and written English and willing to help anyone with their Spanish.,I am hoping to improve my spoken and written English and am willing to help anyone with their Spanish.,Spanish
73,"(Not looking to flirt, just friends and that's it)
A little bit about myself:
I study at the National University of Lomas de Zamora (This is in Buenos Aires) I do martial arts to keep myself in shape, I play guitar in my free time, also teach personal defense for women when friends ask me to ( I don't have an academy just for educational purposes) and just started Salsa lessons. Very important: I love dogs :)","(Not looking to flirt, just friends and that's it) A little bit about myself: I study at the National University of Lomas de Zamora (This is in Buenos Aires). I do martial arts to keep myself in shape, I play guitar in my free time, also teach personal defense for women when friends ask me to (I don't have an academy just for educational purposes) and I just started Salsa lessons. Very important: I love dogs :)",Spanish
74,"Hi, I am want to meet an English speakers (a single or a couple) to practice English and Spanish/Basque exchanging our knowledges in those languages. Don't be hesitate to get in touch with me. Please send me a message if you are interested in.","Hi, I want to meet an English speaker (a single or a couple) to practice English and Spanish/Basque, exchanging our knowledge of those languages. Don't be hesitate to get in touch with me. Please send me a message if you are interested.",Spanish<br/>Basque
75,"I'm learning japanese since few months, I'm looking for someone to exchange about language/culture/interest (food, music..) (I have a terrible french accent!). I can help you with your french.","I've been learning Japanese for a few months now. I'm looking for someone to exchange language/culture/interest (food, music..) (I have a terrible French accent!). I can help you with your French.",French
76,"Now I am interested in the following languages:
1) Russian language and culture;
2) Polish language and culture;
3) English language (British and/or American)
I would be glad to help people wishing to learn Italian language. I prefer practicing on a regular basis. Hope to hear from you!",Now I am interested in the following languages: 1) Russian language and culture; 2) Polish language and culture; 3) English language (British and/or American). I would be glad to help people wishing to learn Italian language. I prefer practicing on a regular basis. I hope to hear from you!,Italian
77,"I am interested in improving my English skills and why not, helping you out with your Spanish skills. I am very patient and always happy to help. Please, don’t hesitate to contact me :)","I am interested in improving my English skills and, why not, helping you out with your Spanish skills. I am very patient and always happy to help. Please don't hesitate to contact me :)",Spanish
78,"Hello everyone, I'm Matteo and I would like to resume studying English. I would like to improve the conversation in everyday situations. I have a master degree and I was good in italian grammar at school so I can help someone who would learn Italian. I am sure the only way to improve a language it is speaking and make mistakes and learn by it.","Hello everyone, I'm Matteo, and I would like to resume studying English. I would like to improve the conversation in everyday situations. I have a master's degree, and I was good at Italian grammar at school, so I can help someone who would like to learn Italian. I am sure the only way to improve a language is to speak and make mistakes and learn by doing them.",Italian
79,"Hello, I am French native speaker. I would like to find friends to talk about interesting subjects. I don't like to speak English only for learning but also for fun, leisure time, culture, so that I can get acquainted with you. I have friends in other part of the world in French-speaking and English-speaking countries.","Hello, I am a native French speaker. I would like to find friends to talk about interesting subjects. I don't like to speak English only for learning but also for fun, leisure time, and culture so that I can get acquainted with you. I have friends in other parts of the world in French and English-speaking countries.",French
80,I'd like to improve my english skills to grow professionally. I want to practice listening and speaking. I love to teach others and I will be pleasured.,"I'd like to improve my English skills to grow professionally. I want to practice listening and speaking. I love to teach others, and I will be pleasured.",Spanish
81,Cultural aspects and exchange language,Cultural aspects and exchange language,Spanish
82,"Hello, I am from Dominican Republic and I want to improve my English and French knowledges, make friends. I work as Software Developer.","Hello, I am from the Dominican Republic, and I want to improve my English and French knowledge and make friends. I work as a software developer.",Spanish
83,"I have been living in Tennessee for 3 years and I can not speak fluently. I am a friendly person. I love to learn and to teach. I have experience teaching. Currently, I am studying English at the College. I want to know a person that really wants to learn Spanish. I am preparing my schedule for teaching Spanish next fall.","I have been living in Tennessee for 3 years, and I can not speak Spanish fluently. I am a friendly person. I love to learn and to teach. I have experience teaching. Currently, I am studying English at the College. I want to know a person that really wants to learn Spanish. I am preparing my schedule for teaching Spanish next fall.",Spanish
84,"Looking to learn and improve my poor English, French, Italian, German and Latin. I don't ask for photos or video chat, though I do voice and text messaging as well as voice calls.","Looking to learn and improve my poor English, French, Italian, German, and Latin. I don't ask for photos or video chat, though I do voice and text messaging as well as voice calls.",Spanish
85,"Hello everyone, I am a person who enjoys exchanging experiences and knowledge with other people in the world, I really like that we can help each other, if you are studying Spanish for any reason I can help you.","Hello everyone, I am a person who enjoys exchanging experiences and knowledge with other people in the world. I really like that we can help each other. If you are studying Spanish for any reason, I can help you.",Spanish
86,"I aspire to make songs, poems, and articles in English. I am currently learning Italian too. It will be a pleasure to help you with Spanish in exchange.","I aspire to make songs, poems, and articles in English. I am currently learning Italian too. It will be a pleasure to help you with Spanish in exchange.",Spanish
87,"Everyone is welcome in this profile. If you want a partner who can help you with your Spanish I'm here. I will be glad to teach and give you feedback. I'm interested to have a language exchange in English and French. Of course, If the exchange happens on a video Call better, we can improve our conversational skills. I'm interested in Asian and French culture.","Everyone is welcome in this profile. If you want a partner who can help you with your Spanish, I'm here. I will be glad to teach and give you feedback. I'm interested in having a language exchange in English and French. Of course, If the exchange happens on a video call better, we can improve our conversational skills. I'm interested in Asian and French culture.",Spanish
88,"Hey, you can called me Mush , I'm a French student in a business school, I would like to level up my English skill so feel free to discuss about anything , im willing to meet more people, thank you.","Hey, you can call me Mush. I'm a French student at a business school. I would like to level up my English skills, so feel free to discuss anything. I am willing to meet more people, thank you.",French
89,"Hi, im Bruno, im a enthusiastic person that are learning English 1 year ago, Im native speak Spanish, I love reading, watching movies, i would like to be able to speak English fluently. If you need some help with Spanish contact me.","Hi, im Bruno. I'm an enthusiastic person that started learning English 1 year ago. I'm native Spanish speaker, I love reading, and watching movies. I would like to be able to speak English fluently. If you need some help with Spanish, contact me.",Spanish
90,"Hello I'm from Peru, I really love languages and to know different cultures around the world.A conversation to improve my fluency would be great.I'd love to practice with anyone these languages:English,French or Portuguese.I can help with Spanish.Feel free to contact me if you are interested in learning languages or in practicing any of these languages.","Hello, I'm from Peru, I really love languages and to know different cultures around the world. A conversation to improve my fluency would be great. I'd love to practice with anyone these languages: English, French, or Portuguese. I can help with Spanish. Feel free to contact me if you are interested in learning languages or in practicing any of these languages.",Spanish
91,I work for a company from United States and that's why I would like to continue improving my english. I can help you with your spanish doing my best. I'm an open person so we can definitely have a conversation about any kind of topic. I would rather an audio or video call because that's the most natural way of leaning.,"I work for a company in the United States, and that's why I would like to continue improving my English. I can help you with your Spanish, doing my best. I'm an open person, so we can definitely have a conversation about any kind of topic. I would rather an audio or video call because that's the most natural way of learning.",Spanish
92,"I want to learn, improve and increasing my level English and share with other my knowledge.","I want to learn, improve, and increase my English language skills and share with others my knowledge.",Spanish
93,I wanna understand the world around me!,I wanna understand the world around me!,Italian
94,"Hi, I'm 41 french woman living in Toulouse. I'm happy to exchange with people learning french  I like to cook and exchange about recipe from all other the world. I also like sport, care about the planete and I'm worried about climate&amp; biodiversity. I prefer face to face conversation in town!","Hi, I'm a 41-year-old French woman living in Toulouse. I'm happy to exchange with people learning French. I like to cook and exchange recipes from all over the world. I also like sport, care about the planet, and I'm worried about climate&amp; biodiversity. I prefer face to face conversation in town!",French
95,"Hello, I'm native catalan speaker (also I speak spanish perfectly), I'd like to improve my english and helping with your catalan/spanish! I love learning new languages and cultures, I'm a bit shy at first but I really want to meet new people from other countries, my english level is intermediate.","Hello, I'm a native Spanish speaker (also I speak Spanish perfectly), I'd like to improve my English and help with your Spanish/Spanish! I love learning new languages and cultures. I'm a bit shy at first, but I really want to meet new people from other countries. My English level is intermediate.",Spanish<br/>Catalan
96,"Hi I am Socorro, I´m a retired science teacher from Mexico. I´m looking for someone to practice English and I would love to help you to learn Spanish","Hi, I am Socorro. I m a retired science teacher from Mexico. I m looking for someone to practice English with, and I would love to help you to learn Spanish.",Spanish
97,"I'm Spanish, right now I am in Canada for a few days. I would like to improve my English level.","I'm Spanish, and right now, I am in Canada for a few days. I would like to improve my English.",Spanish
98,Spanish speaker trying to practice English. Willing to help with Spanish.,Spanish speaker trying to practice English. Willing to help with Spanish.,Spanish
99,hi i'm insterested in art and productivity stuff. Also im trying to improve my english here and i can help you with your spanish if you want to.,"Hi, I'm interested in art and productivity stuff. Also, I'm trying to improve my English here, and I can help you with your Spanish if you want to.",Spanish
