,id,native,language,probabilities,english_only,text
59,78.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953565245515],True,"Hi I’m Yoyo, I really need to improve my english and I also love making new friends, so please feel free to contact me if you want to learn french or if you just want to make friends !"
60,80.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999982046350673],True,"Hi there! I'm looking to practice English. In return, I can help you with your Spanish! I'm currently a uni student so any general tips or advice that may be helpful are welcome! Have a lovely day :)"
62,84.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999996955289433],True,"I am here to improve my english and to learn russian, and why not, to make some new friends."
67,89.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.5714254545097822, no:0.42857177940739977]",False,"Hello, I am looking for kind penpals living in Madrid. Thanks"
70,93.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969944772076],True,I have to improve my english for my job
72,95.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967624258058],True,Learning English is a challenge for me. I am looking for someone who is brave to help me and who needs my Italian.
76,100.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953778247688],True,I should like to keep my English up to date and not to lose it completely.I like to help foreigners to practice Italian.
81,107.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999970197937373],True,Hi I want to practise my English skills and I can help with your Spanish in return
82,108.0,Italian,"[{'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970683689686],True,Hi I'm a student. I want to practice English so if you want to talk about your country we can practice english together. P.S. I'm studying korean...I can read but i don't understand anything :D I studied alphabet and when i have free time I will start to study grammar (I bought a Korean grammar book)
83,109.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976533921785],True,"I’m an honest person, loyal, happy, . I want to improve my English and make new friends around the world. I’m willing to help anyone with their Spanish"
84,110.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999977556612187],True,"Ok, that's me: I'm trying to keep up with the languages I studied but sadly I don't get the chance to practice them as often, and you know, if you don't practice regularly they totally slip! I'd love to meet up with native speakers interested in learning Italian and willing to help me out with their language! my idea would be learning through conversation, using the language in everyday life, perhaps over a coffee or wine or maybe doing something else around the city, keeping it light and fun!"
85,111.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Dutch', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999980085212785],True,I work in an import/export Dutch food company. I would need to practice my spoken english . I live in Tuscany between Pisa and Florence.
86,113.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971526341882],True,"I ‘m Monica from Italy I would like to improve my English and, of course, I’ll can help you with your italian The curiosity is my passion: I love sailing, skiing, swimming, visiting exhibitions art, museums, travelling of course, listening music, theatre… I hope you’ll text me ????"
89,117.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999940773107727],True,"Hi I'm Alberto and I'm a native Italian speaker. I want to practice my English and maybe learn Spanish, in exchange I can help you with your Italian!"
91,119.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995463798768],True,"Speak with english or american people for learn language, only face 2 face. I can teach italian"
102,132.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999969552435254],True,Hello. I'm looking for language partners for practice my English. I can help you with Italian of course. I wish to know new cultures. Ciao. Sto cercando dei partners linguistici per parlare inglese. Io posso aiutare a migliorare l'italiano. Desidero conoscere nuove culture.
109,141.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963561355537],True,"Hi everyone, I'd like to improve my English skills. If you want to improve your Spanish, let me know! I'm sure we can help us. Please I just want to improve my fluently, I don't search any loving relationship."
110,142.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958078597294],True,I am looking for friends to help me in improving my English; i would like to help anbody Who wants to learn French or practice english. Knowing New people and New cultures are very important to me. Yours Sincerely.
111,143.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965918904863],True,"I'm just looking for conversations with somebody whose native language is English and who would like to speak French.My spare time activities are woodworking, reading , swimming and running"
117,150.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999986940489667],True,"I am looking for people who can help me with English and Japanese languages. In exchange I could teach French. I can read English quite well but am very poor at listening and speaking. As I like travelling a lot, I would like to improve my speaking and listening abilities. Sorry I don't answer men's requests, only women. I am also very keen on Japan that's why I would like to learn Japanese."
135,176.0,French,"[{'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969430874205],True,"i like everything about dance : your dance, history, sociology, literature, rythm, biomechanics about ecology ( wastes, energy, rivers and phreatics, urbanism, steets, houses and dwelling.) about language : your expression, conversation, sociology of language, rhethoric, grammar and phonetic"
137,178.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967671691644],True,"Hi! I'm a French native speaker and I'm 19. I'd like to practice English, and I could help with French. I'm here because I came to the conclusion that speaking to a native is the best way to make progress. If I can help and learn at the same time, then that's fine with me. I'm open to any conversation topic, so don't hesitate to contact me."
140,182.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976687581167],True,"I'm Solène, I live in France. I actually study business in the south of France. I always loved to learn languages especially English. I would like to discuss with someone and improve my English level (it's not too bad but not very good). My pronunciation is my weakness. Of course, I will be pleased to help you for French. I like walking, visiting cities, traveling. Also I like shopping. I'm open minded and like to meet people. Don't hesitate to send me a message :)"
146,189.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999934751909829],True,"I am a microbiologist who has just finished my university studies. I am from Barcelona, Spain. My interests include science, movies, video games, hiking and sport climbing. I want to improve my english speaking skills for work but also because I love to travel. My native languages are spanish and catalan."
150,194.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970737397126],True,"I want to learn English soon because I have to bussines around the world, let me know your free time to practice"
153,199.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976699946247],True,"Hi ! I like reading British and American literature and I'm especially fond of American novels and newspapers. I like also listening to podcasts in English, like ""the BBC global news"" and ""The Daily"" (NY Times). Unfortunately, I have not many chances to speak English in my everyday life. Since I am a teacher, I think I can understand well the problems an English native speaker has to face in learning Italian and hopefully help to solve them."
158,204.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999949967581139],True,I would like improve my english and learn spanish. I can help You with italian and English. I am an italian native engineer. Me gustaría mejorar mi inglés y aprender español. Te puedo ayudar con italiano e inglés. Soy un ingeniero nativo italiano.
159,206.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999988752610782],True,Hello! I would like to contact people who would exchange their language for Spanish.
161,209.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999982671374645],True,"I can read in English, or listen to radio, podcast, films but I would like to meet English native speakers to speak English. Living in France, I don't have the opportunity to meet English native speakers easily and I am very glad a friend told me about this app. I would also be very pleased to help someone with his/her spoken French."
163,214.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999986040418691],True,I'm a french man who looks for someone to speak english and makes me progress.
166,218.0,French,"[{'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999959209078435],True,"Don't hesitate to send me a message, even if you don't speak czech, french or english."
177,230.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142839401032764, fr:0.2857147579712622]",False,"Je recherche a perfectionner mon anglais en discutant avec des personnes natives. Dans l'idéal, je souhaiterais parvenir a suivre une série en Vo (English). Je peux également aider dans l'apprentissage orale et prononciation du français. I want to improve my english by discussing with people whose first language is English. I hope that one day. i'll could watch TV show in Originals Version (and i do this traduction without translator, so that you can seen my english level)"
178,231.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958527277446],True,"I am an English Student, and I would like to improve my English Level"
181,235.0,French,"[{'language': 'Berber', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966477645095],True,"I like to travel, discover other cultures and share useful conversations"
182,236.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960788734743],True,"I am an architect, from Colombia, currently I am looking for language exchange with native person."
195,253.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999956599108827],True,"Hi! I'm Nagoya. I have studied english, lived with different host families in Seattle, Indiana, Toronto, Dublin, and even worked in the United States during 2016 summer, but it was years ago so... I have forgotten a lot of things that I want to improve. I love sports, my favourite is Rythmic Gymnastics. I also love travelling, meet new people and explore new countries and places."
197,257.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999957927974952],True,I'm an italian guy that would like to exercize his english :) and improve German and Russian You are welcome!
199,259.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995777527211],True,"I was born in Madrid and love to speak in English, but I need to improve it, specially my speaking skills. If you need a friend to help you with your Spanish, that's me! I'll be happy to help you ☺ Music is my obsession. I work to be able to travel. My biggest hobby is playing drums."
202,263.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963821602715],True,I live in South Italy and I would love to have the opportunity to talk with a BRITISH mother tongue LADY in order to improve my conversation skills. I happy to help you with Italian too. Females only please!
203,264.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Sign Language - International', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999961149043767],True,"Hi Hi! I'm Arii, thank you for being interesting in being my penpal, I'm not very good at describing myself but I promise you that I'll do my best to get along great :D I'm very interested in learning new languages since I have free time now, I also like to meet people from different cultures to share stories and interests^^ I'm an introvert but don't worry, I do my best to look like an interesting person(? Haha Feel free to write me if you need a language partner or a friend :)"
205,266.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960202105365],True,"Hello, I am looking for friends for conversation and languages as well as culture discovery."
207,269.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999981713725945],True,I'm looking for someone very patient to chat with and exchange impression I am be very happily married and only seek friendship and mutual learning. I am a very happy person and very patient.
209,272.0,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.5714276704740007, es:0.4285712238581503]",False,"¡Hola! Me llamo Iván y acabo de mudarme a Tokio para estudiar japonés. Me gustaría ayudar tanto a las personas que aprenden español (o catalán), como a las que simplemente quieren conversar para practicar. -- Hello, I'm Ivan and I just moved to Tokyo to learn Japanese. I would be happy to help people who is learning spanish (or catalan) or those who just want to practice their writing/speaking. Feel free to send me a message. -- はじめまして、私の名前はイヴァンです。よろしくお願いします！"
213,279.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999982210362082],True,"Hi! I'm a native italian speaker, i am here to practice english or japanese and to know more about other cultures I can help you with the italian language"
214,282.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Dutch', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999975290542541],True,Hello ! I would like to improve my english (mainly speaking.. ...some writing I can support you in French (native speaker : French) ! .. Außerdem möchte ich mein Deutsch verbessern .. Ik zou graag mijn nederlands verbeteren ! Someone who 'd love and don't hesitate to correct with patient. thanks PS I am looking for native speakers in these languages.
217,285.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963129368173],True,"I am outgoing, friendly, I love talking, meeting new people and above all travelling. I am currently living in Ireland to improve my English."
227,296.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966577121584],True,"Hello! I am very interested in finding a person to help me improve my English. My level is intermediate. I would like to discuss different topics in order to increase my vocabulary. My hobbies are traveling, hiking, movies and yoga. In exchange I can help you with your Spanish. I am a native speaker. I used to work as a Spanish teacher many years ago. I like a lot teaching grammar. Hope to hear from you!"
230,300.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999981087921006],True,"Hi, I like daily conversation and i need to practice my english without any pressure. I would be glad to help you in French. I am looking for a long term exchange, a native speaker and around my age please. I am a web developer, i like to travel, especially road trip, movies, jazz….."
233,303.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970814357144],True,"Andréa, 29. I'd like communicate in english with people, in order to improve my spoken english. I can help you with your French in exchange, just reach out to me."
238,309.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966088239438],True,"Hello everyone! I recently moved to London for work and I would like to meet someone To chat , to improve my English and help you improve your Italian"
240,311.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966463595158],True,"Hello, I am french and live near Paris (few km). I learned English on my own and I continue. But now as you can see I need help for speaking and writing. Of course in return, it will be a pleasure to help you with your french's practice. Because I like to teach and to help. We can exchange by video-call, messages or face to face in a cafe or other place. I enjoy to chat on a wide range of topics and meet new people. I hope we will exchange soon. Bye!"
242,313.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999968210557824],True,"Hey people! Very patient native french speaker here looking for a new partner to improve myself in Spanish, Japanese but also looking for native English speakers in order to be more fluent. Let's grab a drink or explore the city while having a nice talk :) A bientôt !"
247,319.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999970401555238],True,"Hello, I live in Paris and i work as a video editor in freelance. I'm here to improve english. It will be my pleasure to share my french. good day to all."
248,320.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic (Egyptian)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999952369196994],True,"I am a native French speaker from France. I studied mathematics and now I work in Cambridge as an engineer. I want to practice and improve my english. I need to get more confidence when I speak and learn more vocabulary. I would like to find a motivated person who is a native English speaker in order to develop my writing and speaking skills. I am also starting to learn Arabic but I am at the very beginning. In exchange, I can help with French."
253,328.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Ukrainian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999960415574114],True,"Cześć, Salut, Hi! I'm living in Lyon France. I would like to practice my english conversation and also some polish as I love this country. We can either talk online or even meet in real life if we are close. In exchange I can help you with your french :) I'm friendly, message me if you need help."
259,337.0,Spanish<br/>Galician,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.999997433310367],True,I am a graphic designer and digital illustrator living in Spain. I've been learning English on my own and would like to practice conversation to improve it. Greetings.
260,338.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966404850317],True,"Hello I am trying to learn english, if someone wants to study with me would be excellent, I can help you with spanish so send message if you are interested . Podemos quedar para practicar un rato."
265,347.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997237893343],True,Doing the same thing over and over expecting a different result.
273,360.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999957907200877],True,Hi! i'm looking for practice and learning english. willing help you in italian
276,363.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971238500214],True,"Hello! I would like to meet people to practice English, in exchange I can help with Spanish."
284,371.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Bahasa (Indonesia)', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972284525993],True,"Hi, I´m spanish native who recently returned after living abroad for more than 1 year. I would like to continue improving my english, and in exchange I can help you with spanish language &amp; culture. Just for your reference, I love running, hiking, gym... all kinds of sport, natural environments and healthy life!. See U!"
285,372.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999943900018765],True,"Hello, I am looking for someone for practise my English and help him in Italian if he wants. I like the nature and stay in it."
288,375.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Catalan', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999996431664461],True,"I'm student in the Official School of Languages in Alicante, Spain, and I would llike to practice the languages that I currently learn: English, French, German and Catalan. I'm tenacious and responsible."
291,378.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962794502825],True,"Hello, I like to travel and I would like to speak perfectly english so please contact me. I will be a perfect french teacher too. Talk to you soon."
296,385.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973131680301],True,"hello, I am edier and I am learning english, I want to meet people and their cultures to improve my level in the language, I can help you to learn spanish."
299,389.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Hebrew', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999974721351773],True,"Hi, I am a professor in a french university, and would be happy to exchange language skills and cultural knowledge in Paris with a native speaker. I enjoy playing music with friends, cooking (especially french patisserie) and sharing my best places. I am looking for cool but studious face to face exchanges in a friendly atmosphere, with open-minded people. Talk soon !"
301,391.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999986765411678],True,Hoping to improve my spoken and written English and willing to help anyone with their Spanish.
302,392.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999994889440013],True,"(Not looking to flirt, just friends and that's it) A little bit about myself: I study at the National University of Lomas de Zamora (This is in Buenos Aires) I do martial arts to keep myself in shape, I play guitar in my free time, also teach personal defense for women when friends ask me to ( I don't have an academy just for educational purposes) and just started Salsa lessons. Very important: I love dogs :)"
303,393.0,Spanish<br/>Basque,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973346587266],True,"Hi, I am want to meet an English speakers (a single or a couple) to practice English and Spanish/Basque exchanging our knowledges in those languages. Don't be hesitate to get in touch with me. Please send me a message if you are interested in. :)"
313,404.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571407194472698, es:0.1428576762149543]",False,Estoy estudiando inglés y estoy muy interesado en mejorar mi forma de hablar y también puedo ayudarte con tu español. I am studying English and I am very interested in improving my way of speaking and I can also help you with your Spanish.
314,405.0,French,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968376075172],True,"I'm learning japanese since few months, I'm looking for someone to exchange about language/culture/interest (food, music..) (I have a terrible french accent!). I can help you with your french."
318,409.0,Italian,"[{'language': 'Russian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999968074814061],True,I like learning languages in general. Now I am interested in the following languages: 1) Russian language and culture; 2) Polish language and culture; 3) English language (British and/or American) I would be glad to help people wishing to learn Italian language. I prefer practicing on a regular basis. Hope to hear from you! Всем пока! Do zobaczenia wkrótce! See you! Ciao!
325,416.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962252979852],True,"Hello, I am Patricia. I am interested in improving my English skills and why not, helping you out with your Spanish skills. I am very patient and always happy to help. Please, don’t hesitate to contact me :)"
326,417.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979455557191],True,"Hello everyone, I'm Matteo and I would like to resume studying English. I would like to improve the conversation in everyday situations. I have a master degree and I was good in italian grammar at school so I can help someone who would learn Italian. I am sure the only way to improve a language it is speaking and make mistakes and learn by it."
329,420.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995214392479],True,"Hello, I am French native speaker. I would like to find friends to talk about interesting subjects. I don't like to speak English only for learning but also for fun, leisure time, culture, so that I can get acquainted with you. I have friends in other part of the world in French-speaking and English-speaking countries. Je fais aussi la conversation en français très volontiers. Regards"
